"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
18.143314	19.39926	20.551191	20.424618	20.292185	18.686605	20.626698
21.546148	22.137966	21.75468	21.502851	21.95221	21.711538	21.79751
20.973816	21.203865	20.958752	20.647726	21.246891	21.21898	21.231213
24.004883	24.533329	24.498226	24.420637	24.871044	23.990475	24.686544
23.528278	24.120735	23.582817	23.703463	24.424839	23.855915	23.857344
22.281784	22.55027	22.006931	22.418005	22.721542	22.588045	22.909307
22.392445	22.955471	22.64515	22.681063	22.81291	22.812805	22.923666
23.408146	23.89248	23.939436	23.983784	23.273834	23.568882	23.578978
23.613085	23.661148	23.579197	23.755238	23.763445	23.767778	24.013725
17.335716	17.480556	17.762434	17.356068	18.15588	17.366207	17.666224
23.587332	25.723387	26.794628	25.871763	29.849873	25.683655	26.544672
29.908749	29.769928	28.695976	29.250603	30.68992	31.008915	30.938837
32.21073	32.441647	31.29626	32.11403	33.56702	30.705334	31.625435
23.16562	23.574049	23.375553	22.862339	23.257002	22.96517	23.010273
20.167473	20.231064	19.87607	19.78353	20.290361	19.9895	20.229292
26.44382	27.32548	26.826202	26.639265	26.558954	26.377024	26.406334
24.613552	26.775246	26.966572	26.5135	26.385044	25.144518	26.549212
23.428436	24.306805	24.471973	23.981709	23.851393	23.563065	24.222588
23.31879	23.685476	23.459951	23.282833	23.742964	23.40478	23.701784
22.482098	22.77865	22.391146	22.207218	22.785677	22.594421	22.623386
21.174187	21.584902	21.449804	21.398556	21.514736	20.904783	21.46744
33.871685	32.970264	32.80135	33.005753	33.75331	34.6176	NA
25.965994	26.22126	26.217861	26.432055	26.622774	25.983162	26.447351
23.778812	24.583328	24.61719	24.55573	24.493826	24.126078	24.51362
26.80682	27.683931	26.808264	26.789635	26.950155	26.646194	27.569407
21.739584	21.710598	21.326174	20.94617	20.998661	21.753336	21.353188
28.96576	29.56677	28.137978	28.950405	30.072212	29.51579	29.202301
22.516132	22.945826	22.476828	22.272871	21.82436	22.518593	22.271803
23.90881	24.57123	24.09272	24.237288	24.38049	24.246546	24.454258
38.22575	38.125423	37.122974	NA	NA	26.07884	NA
26.421206	27.306269	26.990273	27.152306	27.457249	26.126274	26.582256
25.738705	26.377218	25.562672	25.673107	25.314953	25.947193	25.590446
22.767614	23.273796	22.758545	22.796827	22.29589	22.795345	22.721624
22.809332	23.66865	23.42267	23.229862	23.125391	22.941437	22.994106
22.714811	23.972311	23.721092	23.416456	25.198385	23.241905	24.390703
23.662592	23.826153	23.596277	23.586353	23.115576	23.450851	23.344458
31.65994	32.575306	31.660585	32.18189	31.316628	31.995909	32.38083
26.301123	27.731697	27.289679	26.850386	28.26898	26.6977	27.594427
25.811825	23.967125	24.108025	23.129726	24.743387	22.657473	24.352312
23.853968	24.306334	23.912447	23.664612	23.99235	23.672718	23.986155
25.806135	27.299694	26.83615	26.299786	26.505442	26.59865	26.228119
25.295542	25.822495	25.386934	25.708174	25.35305	25.393536	25.529814
23.889416	24.20523	23.911686	23.785751	23.611553	23.819088	24.862825
23.898827	24.34926	23.767002	24.000605	24.396423	24.222404	24.228367
22.098383	22.377771	22.217829	22.29893	22.310654	22.10528	22.437225
32.53499	33.985794	36.941257	32.34648	33.19844	33.97661	33.889893
31.898516	31.469116	30.765831	31.793465	32.55287	32.482235	32.17766
31.873219	32.522587	32.91568	32.597122	31.312468	31.624563	31.614172
21.89788	21.885633	21.731724	21.875273	21.16116	20.563969	22.38188
NA	37.70413	38.03568	33.400803	NA	NA	NA
20.174923	20.983387	21.28227	21.744537	22.77264	20.25541	22.151445
21.452995	21.973658	21.494562	21.184069	21.584036	21.593931	21.494076
23.548355	23.475859	23.511658	22.721815	23.474167	23.52748	23.70842
19.928202	20.692862	20.561268	20.003557	20.645271	20.331388	20.673597
24.46724	24.720865	24.458809	24.404034	24.638445	24.385931	24.64894
