Refseq;Cyproconazole_Fold_Regulation;Cyproconazole_pvalue;Fluxapyroxad_Fold_Regulation;Fluxapyroxad_pvalue;Azoxystrobin_Fold_Regulation;Azoxystrobin_pvalue;Chlorotoluron_Fold_Regulation;Chlorotoluron_pvalue;Thiabendazole_Fold_Regulation;Thiabendazole_pvalue;Phenylphenol_Fold_Regulation;Phenylphenol_pvalue
NM_015884;-1;0.957587;-1.24;0.04269;-1.11;0.125263;-1.3;0.069047;-1.01;0.960176;-1.15;0.459214
NM_021960;-1.07;0.498751;-1.06;0.607007;-1.29;0.078667;-1.71;0.004732;-1.31;0.070369;-1.29;0.155684
NM_005917;1.1;0.128971;1.09;0.280889;1.12;0.038403;-1.42;0.014548;-1.05;0.453111;-1.05;0.585991
NM_001039845;-1.7;0.30291;-1.16;0.618696;-1.38;0.412441;-2.18;0.212373;-1.27;0.467905;-1.45;0.527763
NM_005918;-1.09;0.43121;-1.08;0.526278;-1.04;0.851936;-1.19;0.211833;1.01;0.955149;-1.1;0.44997
NM_002392;1.05;0.733061;-1.02;0.985518;-1.18;0.276044;-1.08;0.804054;-1.04;0.994226;-1.08;0.778557
NM_006838;-1.04;0.839884;-1.03;0.890206;-1.22;0.194596;-1.02;0.84924;-1.02;0.962949;-1.12;0.44596
NM_002412;-1.41;0.154292;-1.37;0.250833;-1.53;0.139069;-1.86;0.049072;-1.13;0.602556;-1.25;0.510314
NM_002417;1.33;0.444037;1.73;0.149194;1.91;0.048637;1.58;0.232519;1.37;0.443982;1.38;0.389199
NM_000249;-1.15;0.439966;-1.08;0.559778;-1.05;0.804627;1.02;0.948464;1.11;0.654629;-1.14;0.450826
NM_198205;-1.3;0.20148;-1.33;0.189325;-1.44;0.114123;-1.43;0.168991;-1.03;0.845232;-1.19;0.411365
NM_000250;1.77;0.182526;1.77;0.305699;1.69;0.198307;-2.26;0.244318;-2.16;0.17061;-1.94;0.382019
NM_014046;1.44;0.399874;1.36;0.503556;1.46;0.373946;1.26;0.652225;1.07;0.902961;1.28;0.620296
NM_000251;1.89;0.044338;1.72;0.189976;2.26;0.090685;1.43;0.272476;1.02;0.972113;1.35;0.422534
NM_000253;-1.2;0.521048;-1.51;0.481578;-1.13;0.738343;-3.45;0.001751;-1.1;0.702566;-1.44;0.524587
NM_003998;1;0.89073;-1.15;0.506503;-1.15;0.469253;-1.11;0.55989;1.02;0.964238;-1.02;0.804484
NM_017921;-1.03;0.805611;-1.03;0.925517;-1.1;0.576717;1.15;0.231724;1.1;0.435001;1.1;0.427662
NM_000903;1.39;0.537901;1.04;0.911364;1.33;0.635129;1.73;0.185844;1.17;0.88114;1.1;0.991954
NM_021969;-1.41;0.530368;-1.74;0.2534;-1.14;0.896723;-3.66;0.016513;-1.83;0.465819;-1.09;0.914655
NM_005123;-1.02;0.907725;-1.19;0.217468;-1.18;0.161149;-2.16;0.000829;-1.18;0.451398;-1.09;0.842147
NM_003822;-1.37;0.027633;-1.24;0.182778;-1.6;0.000439;-1.91;0.001748;1.82;0.382836;-1.14;0.562709
NM_006184;-1.91;0.0023;-1.68;0.093702;-1.54;0.066279;-1.49;0.005368;-1.1;0.059695;-1.31;0.081756
NM_002452;1.4;0.181234;1.6;0.136148;1.84;0.053771;1.75;0.079034;1.35;0.17126;1.45;0.276001
NM_015901;1.02;0.880953;-1;0.959472;1.08;0.576478;-2.39;0.010783;-1.26;0.337402;-1.29;0.255377
NM_018283;1.08;0.552381;1.13;0.392323;1.11;0.377626;1.3;0.084438;1.17;0.310206;1.08;0.586906
NM_024923;-1.53;0.135401;-1.28;0.321845;-1.45;0.21645;-1.72;0.085523;-1.08;0.675499;-1.12;0.571298
NM_002541;-1.09;0.58668;-1.28;0.00052;-1.22;0.193507;-1.24;0.016971;-1.08;0.025707;-1.21;0.004062
NM_002542;-1.11;0.321362;-1.16;0.432391;-1.2;0.329835;1.01;0.970496;1.1;0.366176;-1.18;0.208209
NM_001004467;-1.91;0.305073;-2.1;0.578902;-1.38;0.987027;-4.25;0.077804;-1.11;0.99633;-1.25;0.62359
NM_006812;-1.51;0.018241;-1.41;0.196634;-1.44;0.101887;-1.87;0.002965;-1.18;0.11391;-1.25;0.29044
NM_152672;-2.47;0.013964;-2.14;0.049634;-2.03;0.048478;-5.66;0.003086;-1.8;0.033397;-1.98;0.30431
NM_178859;1.46;0.323942;-1.57;0.154157;-1.25;0.373481;1.54;0.174608;-1.38;0.292833;1.05;0.957571
NM_001618;-1.31;0.225018;-1.18;0.303509;-1.26;0.207792;-1.25;0.334551;-1.07;0.799631;-1.12;0.594213
NM_005484;1.1;0.76028;1.23;0.452488;1.18;0.583822;1.25;0.435951;1.15;0.661569;1.01;0.973772
NM_000282;-1.55;0.090471;-1.56;0.120199;-1.71;0.057478;-1.87;0.04745;-1.25;0.2674;-1.47;0.180223
NM_182649;1.61;0.105543;1.71;0.129926;1.84;0.083421;1.68;0.087004;1.03;0.991488;1.21;0.578654
NM_024411;1.11;0.610626;1.57;0.296376;-1.64;0.160957;-1.28;0.676882;-1.73;0.164908;-1.06;0.722922
NM_002624;1.18;0.090593;1.15;0.344209;1.07;0.552123;-1.16;0.169453;1.03;0.818794;-1.03;0.888903
NM_025225;-1.05;0.935181;-1.43;0.477251;-1.27;0.490192;-2.74;0.076936;-1.23;0.763657;-1.41;0.561871
NM_000446;-1.25;0.258572;-1.39;0.149614;-1.57;0.167831;-7.15;0.000054;-1.4;0.024951;-1.61;0.194134
NM_000941;-1.15;0.64954;-1.18;0.825237;-1.45;0.22856;-1.12;0.428879;1.06;0.63428;-1.22;0.299854
NM_006236;-1.07;0.666582;-1.41;0.406233;-1.14;0.602841;-1.49;0.380599;1;0.807657;-1.05;0.689244
NM_005036;-1.14;0.240511;-1.26;0.238647;-1.37;0.082927;-1.93;0.000066;1.07;0.556066;-1.25;0.426104
NM_032833;1.17;0.510004;-1.04;0.782432;-1.29;0.28764;-1.01;0.903761;1.05;0.866829;-1.1;0.582419
NM_002574;1.22;0.287519;1.14;0.409237;1.05;0.820296;-1.13;0.458541;-1.07;0.700403;-1.1;0.597882
NM_005809;-1.19;0.104646;-1.14;0.084625;-1.07;0.551539;-1.42;0.00171;-1.07;0.105789;-1.1;0.269296
NM_004905;-1.05;0.621755;-1.07;0.494789;-1.13;0.169769;-1.51;0.019442;-1.13;0.262486;-1.22;0.29609
NM_006904;1.37;0.148744;1.3;0.434339;1.28;0.441675;1.01;0.905251;-1.14;0.530706;-1.14;0.606198
NM_000963;-1.03;0.949007;-1.26;0.820251;-1.69;0.430058;1.64;0.12636;-1;0.90366;-1.09;0.805157
NM_002838;1.09;0.608939;-1.15;0.582687;-1.59;0.056625;-2.16;0.003216;-1.43;0.122596;-1.32;0.537526
NM_006505;-1.55;0.023421;-1.74;0.187364;-1.51;0.068685;-1.3;0.028216;-1.25;0.052804;-1.15;0.495966
NM_020387;1.73;0.405255;1.14;0.803011;-1.49;0.4201;-2.67;0.20769;-1.23;0.856062;-1.25;0.969213
NM_002875;1.28;0.397336;1.52;0.126086;1.59;0.144906;1.96;0.036323;1.24;0.440634;1.3;0.442391
NM_002906;-1.1;0.569779;-1.24;0.380574;-1.41;0.111631;-1.26;0.162548;-1.01;0.915214;-1.15;0.417648
NM_020415;-1.01;0.936225;-1.3;0.350014;-1.38;0.280719;-1.98;0.114315;-1.08;0.840468;-1.33;0.423342
NM_176823;-1.5;0.382465;-1.54;0.394288;-1.78;0.319762;-2.1;0.265363;-1.52;0.395956;-1.66;0.354946
NM_002964;-1.58;0.259722;-1.56;0.365968;-1.72;0.306751;-1.32;0.900318;1.65;0.263287;-1.8;0.30852
NM_006745;1.31;0.165695;-1.56;0.068955;-1.83;0.0549;-1.76;0.034489;1.05;0.805566;-1.31;0.539346
NM_005063;-1.5;0.262732;-3.06;0.027995;-2.88;0.037519;-3.82;0.012028;-1.45;0.1154;-1.96;0.302686
NM_004168;-1.15;0.18107;-1.09;0.626509;-1.05;0.701076;-1.5;0.001721;-1.1;0.257141;-1.16;0.118088
NM_003000;1.13;0.344997;1.06;0.573927;1.1;0.432613;-1.18;0.242795;-1.07;0.55687;-1.11;0.330822
NM_003001;-1.27;0.038236;-1.38;0.024248;-1.4;0.01768;-2.04;0.000713;-1.16;0.131829;-1.35;0.123446
NM_003002;-1.08;0.615143;-1.09;0.523211;-1.17;0.247295;-1.55;0.06749;-1.17;0.251827;-1.16;0.282301
NM_003262;1.62;0.352613;1.55;0.408523;1.35;0.695083;-1.06;0.693362;-1.08;0.977453;1.11;0.983521
NM_005065;1.05;0.876199;1.01;0.961442;1.04;0.873197;-1.25;0.253944;-1.23;0.465348;-1.14;0.581853
NM_203472;-1.43;0.060909;-1.72;0.032281;-1.89;0.027649;-1.48;0.052989;-1.3;0.162683;-1.28;0.230701
NM_014445;1.12;0.469667;1.05;0.626299;1.02;0.862349;-1.21;0.189229;-1.03;0.886449;-1.1;0.66642
NM_001085;1.22;0.173891;-1.31;0.190737;-1.18;0.18407;-2.47;0.001754;-1.16;0.291553;-1.21;0.310176
NM_003049;-2.08;0.157591;-2.67;0.166782;-1.78;0.312852;-57.88;0.012305;-3.12;0.051341;-1.84;0.686076
NM_006931;1.89;0.536564;1.74;0.570818;1.45;0.949865;-1.89;0.428439;-1.96;0.658504;-1.7;0.881207
NM_021094;-1.89;0.279917;-2.05;0.25465;-2.09;0.261608;-4.15;0.17027;-2.94;0.265585;-1.38;0.435223
NM_000543;-1.17;0.157652;-1.08;0.624047;-1.16;0.321014;-1.37;0.017251;1.03;0.736023;-1.09;0.353824
NM_000454;-1.01;0.88023;1.09;0.552239;-1.05;0.677294;-1.51;0.03048;-1.03;0.776594;-1.2;0.295843
NM_006038;-1.61;0.053229;-1.41;0.213143;-1.43;0.072859;-1.2;0.287647;-1.05;0.648089;-1.05;0.686355
NM_004176;-3.38;0.012765;-2.31;0.244466;-2.14;0.17997;-2.83;0.018247;-1.26;0.240765;-1.52;0.532467
NM_003943;-1.82;0.025778;-1.83;0.05543;-1.62;0.107836;-2.01;0.013407;-1.29;0.124746;-1.46;0.206763
NM_003850;-1.15;0.467493;-1.2;0.237713;-1.26;0.174593;-1.47;0.029458;-1.13;0.389276;-1.16;0.309318
NM_003849;1.03;0.68928;1.01;0.846821;1.07;0.399041;-1.34;0.012844;-1.04;0.440699;-1.08;0.389806
NM_003848;-1.16;0.142245;-1.15;0.449157;-1.29;0.108722;-1.59;0.012259;-1.01;0.829115;-1.15;0.544289
